Id,Title,Tags,Acceptance,Difficulty,Frequency,Link
1,Two Sum,"Array, Hash Table",45.7%,Easy,4.01683,https://leetcode.com/problems/two-sum
2,Add Two Numbers,"Linked List, Math",34.1%,Medium,0.529256,https://leetcode.com/problems/add-two-numbers
6,ZigZag Conversion,String,36.6%,Medium,5.51237,https://leetcode.com/problems/zigzag-conversion
23,Merge k Sorted Lists,"Linked List, Divide and Conquer, Heap",40.6%,Hard,52.6992,https://leetcode.com/problems/merge-k-sorted-lists
37,Sudoku Solver,"Hash Table, Backtracking",44.0%,Hard,6.0136,https://leetcode.com/problems/sudoku-solver
41,First Missing Positive,Array,32.2%,Hard,4.90122,https://leetcode.com/problems/first-missing-positive
42,Trapping Rain Water,"Array, Two Pointers, Stack",49.2%,Hard,28.334,https://leetcode.com/problems/trapping-rain-water
48,Rotate Image,Array,57.3%,Medium,13.2353,https://leetcode.com/problems/rotate-image
49,Group Anagrams,"Hash Table, String",57.3%,Medium,7.58037,https://leetcode.com/problems/group-anagrams
56,Merge Intervals,"Array, Sort",39.5%,Medium,12.7581,https://leetcode.com/problems/merge-intervals
64,Minimum Path Sum,"Array, Dynamic Programming",54.8%,Medium,7.90612,https://leetcode.com/problems/minimum-path-sum
96,Unique Binary Search Trees,"Dynamic Programming, Tree",53.2%,Medium,20.5778,https://leetcode.com/problems/unique-binary-search-trees
125,Valid Palindrome,"Two Pointers, String",36.9%,Easy,2.35965,https://leetcode.com/problems/valid-palindrome
128,Longest Consecutive Sequence,"Array, Union Find",45.3%,Hard,6.33746,https://leetcode.com/problems/longest-consecutive-sequence
146,LRU Cache,Design,33.5%,Medium,17.5971,https://leetcode.com/problems/lru-cache
153,Find Minimum in Rotated Sorted Array,"Array, Binary Search",45.2%,Medium,7.77644,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array
155,Min Stack,"Stack, Design",44.8%,Easy,5.8178,https://leetcode.com/problems/min-stack
172,Factorial Trailing Zeroes,Math,37.8%,Easy,4.08252,https://leetcode.com/problems/factorial-trailing-zeroes
200,Number of Islands,"Depth-first Search, Breadth-first Search, Union Find",47.1%,Medium,17.4668,https://leetcode.com/problems/number-of-islands
207,Course Schedule,"Depth-first Search, Breadth-first Search, Graph, Topological Sort",43.3%,Medium,3.80271,https://leetcode.com/problems/course-schedule
239,Sliding Window Maximum,"Heap, Sliding Window",43.4%,Hard,8.82608,https://leetcode.com/problems/sliding-window-maximum
311,Sparse Matrix Multiplication,Hash Table,62.2%,Medium,21.217,https://leetcode.com/problems/sparse-matrix-multiplication
314,Binary Tree Vertical Order Traversal,"Depth-first Search, Breadth-first Search",45.5%,Medium,19.3936,https://leetcode.com/problems/binary-tree-vertical-order-traversal
340,Longest Substring with At Most K Distinct Characters,"Hash Table, String, Sliding Window",44.3%,Hard,5.15509,https://leetcode.com/problems/longest-substring-with-at-most-k-distinct-characters
388,Longest Absolute File Path,,41.8%,Medium,63.6443,https://leetcode.com/problems/longest-absolute-file-path
528,Random Pick with Weight,"Binary Search, Random",44.1%,Medium,75.6348,https://leetcode.com/problems/random-pick-with-weight
560,Subarray Sum Equals K,"Array, Hash Table",43.8%,Medium,2.83167,https://leetcode.com/problems/subarray-sum-equals-k
616,Add Bold Tag in String,String,43.3%,Medium,21.5243,https://leetcode.com/problems/add-bold-tag-in-string
695,Max Area of Island,"Array, Depth-first Search",63.0%,Medium,15.861,https://leetcode.com/problems/max-area-of-island
729,My Calendar I,Array,52.0%,Medium,10.1575,https://leetcode.com/problems/my-calendar-i
781,Rabbits in Forest,"Hash Table, Math",54.7%,Medium,0.0,https://leetcode.com/problems/rabbits-in-forest
845,Longest Mountain in Array,Two Pointers,37.4%,Medium,100.0,https://leetcode.com/problems/longest-mountain-in-array
900,RLE Iterator,Array,53.8%,Medium,70.8772,https://leetcode.com/problems/rle-iterator
1152,Analyze User Website Visit Pattern,"Array, Hash Table, Sort",43.7%,Medium,11.911,https://leetcode.com/problems/analyze-user-website-visit-pattern
1193,Monthly Transactions I,,68.4%,Medium,0.0,https://leetcode.com/problems/monthly-transactions-i
1205,Monthly Transactions II,,45.4%,Medium,0.0,https://leetcode.com/problems/monthly-transactions-ii
